month,abs_error
1,30.343595945747726
2,36.63929322965916
3,33.10961597470548
4,31.295395651555864
5,26.783450720729252
6,48.389517073412485
7,40.14631505501569
8,45.35089664764448
9,46.604862096352605
10,39.97003043286903
11,36.263820418494134
12,24.998030324276883
