month,abs_error
1,28.669212038829937
2,35.4596890601996
3,29.030178933832364
4,27.771543134872648
5,23.49119403325537
6,36.397063614175416
7,32.3655725535702
8,34.00532355825739
9,34.18142291474106
10,33.19427106429577
11,29.197669463294282
12,22.113772824607384
