hours_ahead,abs_error
1,15.441510225586914
2,18.650565131244715
3,22.35751644272924
4,23.5384081236513
5,26.41769840414809
6,28.94657359467937
7,31.12216923222697
8,32.4984161530283
9,34.05906141067546
10,35.10158646791893
11,35.57282320240163
12,36.1087504386359
13,35.59605344623421
14,35.092353941564205
15,35.00746677149029
16,35.37794098803684
17,35.7432849277163
18,36.53339065803304
19,37.3710171166451
20,38.617035526875206
21,39.27372968376638
22,39.53377114206604
23,39.11775840791939
24,39.70246738220067
